Date,Star_rating,Commentary
2024-04-30,4,"Great location, Friendly staffs 5 stars but food was too salty for our taste...we tried omakaze but should have tried individual menus.  Overall great experience"
2024-04-30,4,"Ambience is great, wait time is awful, (Service) is OK, food was not that good this time"
2024-04-29,1,"Worst service of all time. Even with a reservation, they'll still treat you like dog shit. And the food is nothing special. Go to Sushi Fumi in West Hollywood."
2024-04-29,4,The food is ok -- overpriced sushi which is what Nobu is known for.  What makes this place particularly special (and the best Nobu IMHO) is the location.  Right on the beach with a fun celebrity or two once in a while.
2024-04-26,5,"Exceptional outstanding quality, well done service and absolutely fantastic customer service with a great ambiance. The food was so fresh as always, delicious, delinquent, and definitely piece of art. Highly recommended"
2024-04-25,5,My husband and I sat at the sushi bar and they were so attentive and accommodating! The food was absolutely amazing
2024-04-25,4,Came here years later and the food has improved. The monkfish pate and sushi is delicious! Still pretty expensive but the service is very high end with a relaxed view. Ate here a few times but getting a reservation is reliable if you eat here often enough. Coming here is great for a nice treat.
2024-04-21,5,"The food, the views, the vibes were all amazing (of course) but what stood out for us was the service. Our server Kardell was absolutely fabulous - he was on point with his suggestions and curated an entire 9-courses for us. Kardell was also friendly, warm and very attentive even though he was very busy as the restaurant was packed. We felt lucky to be seated right by the ocean so our view of the ocean was top notch. Love our dinner experience here!"
2024-04-21,5,"Everything was amazing i was able to get last minute , front desk were very friendly, server was very friendly and knowledgeable.. Food was very good , Albacore sashimi, lemon meyer sashimi, crispy tuna rice was soo fresh!! Drinks were pretty great as well!"
2024-04-20,3,"i will never forget my experience of ordering an old fashioned (after having a manhattan) and being asked by the waiter if i know i'm ordering something different. ""you know that's not the same drink, right?"" my spidey senses tell me that the same question wouldn't have been asked to a man. overall though, not worth the hype. their speciality cocktails are nice."
2024-04-20,5,Great foodAmazing viewsExcellent staff with prompt service Mushroom appetizer was out of this world Chocolate match dessert was too good
2024-04-17,1,worst experience ever coming here. I called and made reservations and SPECIFICALLY requested for an outside table with the view for my birthday lunch. They mentioned to me that it was something they could accommodate me and they would include that request on the notes. I was so excited to take pictures with my son and my husband and spend a really nice lunch and one of the main reasons I wanted to come here. As we arrived the hostess mentioned to us they only have inside tables available Not the outside table as I requested. They said the outside tables are requested MONTHS in advance and they don't have any tables available. I said the only reason I made reservations at this restaurant was because of the outside table and because when I called they said they would accommodate me otherwise I would've made reservations somewhere else. I was told specially I would be accomadaded for the outside table and the host was really rude and said there's nothing they can do about it and could only give us the inside table. At this point I was furious! And left I had no choice but but to ear the table inside. As we sat down I tried my best to enjoy my time with my son and husband and for the FIRST TIME HERE and for the price  I was expecting the food to be amazing. We ordered the wary tacos and they were cold. The lobster cheese tasted super fishy and salty. overall I would say this place is OVERRATED! for the service and food and how the lie to you about the outside seated I wouldn't recommend this place or come here again. I would rather spend my money somewhere else with a view of the ocean. Plus as we were eating throughout our lunch we noticed empty tables by the ocean view the whole time we were there.
2024-04-15,5,"Food, Service, ambience was great! The yellowtail Sashimi Jalapeño was phenomenal! Everything we ate was the best of the best! The best birthday dinner I've ever had so far."
2024-04-15,3,"Really overpriced food for what you get. Service is meh. Sushi was fantastic though. Views of the ocean are very nice, so nice ambience. But so many other great Japanese restaurants to support in LA area."
2024-04-12,4,"Please note: even upon reserving over the phone a month in advance and requesting for a couch seat (hint: NEAR the ocean/railing) I guess they won't actually give it to you. I wish the person over the phone indicated that, but rather, told me that it would be closed if it was raining. I had to take off a star for that because we traveled from NorCal for this and the nice weather with no true ocean view and sort of dampened my experience. Rather, we were given a weird cushioned booth with an ocean view initially obstructed by a big party. We arrived 15+ minutes early and I inquired with the hostess about the couch and she said ""We have couch seating ready for you now"" which was... the cushioned booth. Ugh. Unlike me and my mistake PLEASE make it clear with the restaurant upon reserving that you want couch seating **NEXT TO THE OCEAN/RAILING. How sad for me. Onto the food, I have been to the Nobu Palo Alto location a handful of times and the Malibu location blows them out of the water. The drinks here are much sweeter and the menu is much more appealing here. They are cognizant of allergies and they really know how to make a good presentation.TLDR; be clear you want the couch seating by the ocean or railing. Not cushioned seating away from the water."
2024-04-11,5,Gorgeous views and restaurant. Food was also amazing!! Service was incredible. There were so many people responsible for checking on you.
2024-04-07,5,Called about two weeks ahead and was able to make a lunch reservation for four. We brought our two littles and luckily there were a few other kids at that time. We sat outside and the view was perfect. Everything was delicious. Can't remember the drink names but they were great including a cucumber spritzer not pictured. Service was great!
2024-04-07,5,"We can't say enough about Nobu. I'm a native of California and had never been here. Friends were visiting California and Nobu was on their bucket list. Thank god! What a beautiful spot directly on the beach. It was a rainy day, so we didn't get to enjoy the outdoor seating, but it was an experience I will never forget. Amazing everything! Service, food, ambiance all of it. Noise level was not an issue and that is something that I appreciate when dining."
2024-04-02,5,"Wow wow wow! Where to start? I came to celebrate my friend's birthday and immediately we all fell in love with it. Unfortunately we hit traffic on our way to the restaurant and I frantically called the restaurant we will be 30 minutes late to the reservation. Fortunately, they were understanding and kept our reservation. I am forever grateful for their kindness. The food was bomb and there's plenty of places to take pictures. My fave food was miso soup, crunchy rolls and taco. I will definitely come back in the future."
2024-04-01,5,"01/06/24- Great views, great food, and great ambiance. Honestly, all of the hype is real in regard to Nobu Malibu.  Food:Yellowtail Jalapeño: 10/10 all the hype is real with this dish. The yellow tail is the freshest I've tasted. King Crab Tempura Amazu: 9/10 a great hot dish to share All of the cut rolls were also great and light."
2024-03-30,5,"The food, location and service justifies the price of everything. The food is great, the location is great, and everyone should take an opportunity to enjoy."
2024-03-30,2,Very pretentious. Waiters are rude. Food wasn't all that great. Very expensive but you already know that.
2024-03-30,1,My husband and I used to go to Nobu all the time before it moved to their new location. After the move we continued to go but it became the hangout for the rich and famous. Soon after nothing was available and you were sent to the wait list.
2024-03-26,4,"I would have loved to rate Nobu a 5 star. The host was extremely welcoming. The waiter was so friendly and made us feel right at home. However, the amount of stares from others as me and my friends walked in and out from the bar, and sat to eat, was uncomfortable. I still get surprised when as Latinos/Latinas, born in the Unite States, walk into a room and every Caucasian person turns and stares as if we don't belong."
2024-03-24,1,"I'm a disappoint about the service and respect from workers the biggest problem, parking spot and valet people they are super rude"
2024-03-21,5,"Nobu offers a consistent experience across the globe but the Malibu location is special.  It's worth the trip.  The ocean front setting is incredible and the energy is high -- even on a random Tuesday night when we were there most recently.  It's fun to people watch.  I didn't recognize any celebs but the crowd was fabulous.  My go-to favorites are the artichoke salad, modern sashimi (salmon), and rock shrimp tempura.Insider's Tip: Reservations are a pain, but call at 10am one month in advance as instructed on their website.  Be patient.  Bar seating is first come, first serve - maybe you'll get lucky!"
2024-03-20,4,"People might say it's overrated but you can't deny it's the best sushi in the Los Angeles area. It's going to be impossible to order something that is not good here. All the food is top notch and presentation lives up to their high standards and great reputation. The reason I give this place only 4 stars are for reasons other than the food. I have absolutely no complaints about the food and the price, but there are other reasons I choose to not come here regularly. First, you have to make a reservation way an advance to get a table which is annoying because sometimes you crave a certain meal the day of. It's unlikely to get a table the day of but try it. Second, it's annoying to think you are going to go out and have a relaxing, romantic dinner but you show up and it is SO LOUD! Luckily, when we went last month we got to sit near the outdoor area and we could hear the ocean a little bit but WOW was it loud, and we went on a Tuesday. The restaurant itself is beautiful and the decor is lovely with the amazing scenery but it's kind of a waste when you sit down at a small cramped table (unless you're a celebrity which you might get more space) and have to hear loud talking and silverware clanking. I get it, it's a top of the line restaurant which will make it busy and noisy but this is the reason why I choose other sushi places to go on a regular instead of Nobu. Again, I highly doubt you can find better sushi than this place it's just the other stuff that annoys me."
2024-03-20,5,"Excellent service and food. Outdoor would be much better. The wine paired with the food was recommended by my waiter, which s fabulous."
2024-03-18,5,One of the best Japanese restaurants i've been to! The restaurant vibe is perfect. The sashimi and crispy rice was by far the best!
2024-03-17,2,"The food was good, the ambiance was nice, it's very beautiful. Our service was not good at all. We were significantly neglected, had to ask many times for a drink menu, and were never checked on. Half of our food did not come out, and we had to remind the server that we did not receive half of what we ordered. Additionally, we never saw the same server more than twice, which is part of the issue. The staff were not communicative amongst themselves."
2024-03-07,4,"Similar to another person's review that it is not worth the hype that this place gets. But definitely a fun experience none the less. We had the table side tasting menu where our server would pick out recommendations and things that were popular. He catered to any preferences and allergies for the table and made it according to a rough budget we were looking to spend. Started with three different orders of sashimi,Tuna and wagyu tacos, miso cod, king crab tempura, shrimp tempura with creamy sauce, sea bass with miso,  ribeye with truffle sauce. All the sashimi tasted good. Our sea bass was a bit over cooked on one side of the fish. But still tasted good. The king crab wouldn't personally get again. The sauce tasted like sweet and sour mixed with vinegar. The shrimp dish would also not recc compared to everything else (personally feel like walnut shrimp tastes better). I think everything was overall good. No new flavors, all relatively familiar if you've had Filipino, Japanese, Chinese food before. But I think the overall experience and ambiance was still exciting. Getting things served individually and having them go over each of the courses."
2024-03-05,5,"Looking for the perfect place to celebrate a special occasion, Nobu should be your go to spot! The ambiance is beautiful and the vibe inside exudes tasteful fun for ages 21+, however kids & dogs are allowed. My waiter was amazing and fun was delicious. My favorite 2 dishes was the jalapeño yellowtail & the toro tuna. Their raw fish is so fresh that it melts in your mouth. However I wasn't a fan of the tempura shrimp, it lacked flavor & under the tempura the shrimp were small. None the less, it was a great dining experience."
2024-03-05,5,"My experience here was pretty epic. We came here as a group of 8 for my bachelor party. The waiter mentioned that this Nobu was Japanese/Peruvian. We ordered the omakase but some add ins for large groups. I've only eaten at the Nobu in Hong Kong which was also very memorable. This location has an epic location with views of the Pacific, but the only issue was the rain we experienced that night. Initially, I wanted to arrive early 1830 in order to capture sunset views but the weather did not cooperate. The food came out at a good pace, never having to wait long for the next dish to come out. When I left to use the bathroom, someone came over to fold my napkin. My glass of water was always filled. Service was definitely top notch. The food was also excellent. Some of the extra bougie courses were the A5 Wagyu and the uni. There wasn't really a bad course, surprisingly. I would definitely come back again, when the sun's out."
2024-03-05,2,"You're paying for the atmosphere, not the food. Malibu is beautiful, the spot on the beach is beautiful, the ambience of the restaurant is also very upscale and beautiful. The food was pretty bad, honestly. The spicy garlic edamame, which you usually can never go wrong with, were way too spicy and seemed like they were just bathed in Sriracha. The charred Brussels sprouts were beyond charred - they were burnt, soggy, and way overcooked. All of the sushi rolls had way too much rice, making them enormous in diameter and not able to be eaten in a single bite. The lobster tacos were laughable - literally, we laughed when they were placed on the table. They are very tiny - eaten in a single bite - and quite frankly were pretty unpleasant looking as they very closely resembled part of the female anatomy. Overall, I'd go again if somebody else was paying just to enjoy a leisurely lunch on the patio in the sunshine. If I were to be sitting inside, I'd say you're better off at PF Chang."
2024-03-04,1,"Service sucks the food is average and overpriced they try to rip u off every way possible very disappointed in the quality and service, do better"
2024-03-02,5,"Nobu Malibu is a culinary gem that offers an unforgettable dining experience. The staff's recommendations are spot-on, ensuring every dish is a delight. From the signature Black Cod Miso to the Yellowtail Jalapeño, each bite is a culinary masterpiece."
2024-02-27,1,"Extremely condescending attitudes from host stand for no reason. We waited for over 40 minutes for our table. They made us wait outside in the cold. Food was mediocre. Our waitress was sweet, & did a great job, however the hosts were so rude it ruined the experience. We've been regulars for a long time & will no longer be giving our business. We spent thousands of dollars on this last dinner to have rude""hosts"" tell us we can't split the bill amongst 3 people in the group. Then proceeded to tell us to be quiet in the bar area, (spending more money on drinks) that is always packed & loud, while the restaurant is still crowded. it's Nobu Malibu, it could pass as a pre party for club goers, in fact, that's exactly what this place is. There is ZERO hospitality. Don't go here expecting it!! After all, research shows the manager was sexually assaulting employees & there's been countless other reviews on how awful the hosts are. GREAT SPOT"
2024-02-27,5,"I had the pleasure of dining here during a work event, and while I acknowledge that my experience might be slightly biased due to the sampling of various dishes on the menu and going for a work event, I can confidently say that every bite was a delight.From the hamachi and yellowtail tuna to the grilled shishito peppers, each dish was great. Despite Nobu's reputation for their Black Cod, I found that other dishes were better for me. From the great service and experience, I suggest opting for a family-style dining approach, as I did, allows to explore and appreciate a wider range of flavors and textures that Nobu has to offer.I'm surprised but I definitely recommend Nobu Malibu to anyone seeking an unforgettable dining experience."
2024-02-26,3,"While Nobu Malibu stands as a beacon of upscale dining, its current menu might benefit from a refresh to keep pace with Los Angeles's dynamic culinary scene. The legendary miso cod undoubtedly remains a must-try, showcasing Nobu's ability to create memorable dishes. However, for sushi enthusiasts looking for innovation, perhaps introducing elements like dry-aged fish could infuse new life into the menu, offering a richer, more nuanced flavor experience that keeps guests coming back for more. Additionally, the challenge of securing a reservation poses a significant barrier to entry. Given this, diners might find themselves exploring other venues where the combination of accessibility and culinary innovation makes for a more appealing dining experience."
